origen,destino,dia_semana,hora_dia,clima,es_hora_pico,es_fin_semana,mejor_ruta,num_estaciones,num_transbordos,tiempo_total,congestion_promedio,num_alternativas,num_estaciones_alternativas,calidad_ruta
Santa Isabel,Calle 45,6,8,Lluvia,1,1,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45,8,6,36.57,0.325,1,8,0.0
Virrey,Salitre El Greco,2,22,Lluvia,0,0,Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco,11,9,47.76,0.5,1,11,0.0
Calle 45,Alcala,0,11,Normal,0,0,Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,14,12,50.5,0.486,1,14,0.0
Portal El Dorado,Profamilia,0,11,Normal,0,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Profamilia,6,4,24.9,0.5,1,6,1.26
Toberin,Calle 45,1,5,Lluvia,0,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45,18,16,77.16,0.467,1,18,0.0
Calle 100,Mazuren,2,17,Normal,1,0,Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,8,6,35.36,0.65,1,8,0.0
Portal El Dorado,Virrey,0,18,Lluvia fuerte,1,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,14,12,106.67,0.7,1,14,0.0
Cardio Infantil,Santa Isabel,3,20,Normal,0,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,24,22,89.9,0.458,1,24,0.0
Alcala,Calle 142,4,21,Normal,0,0,Alcala|Calle 142,2,0,3.0,0.3,1,2,8.95
Calle 26,El Tiempo,3,7,Lluvia fuerte,1,0,Calle 26|Salitre El Greco|El Tiempo,3,1,18.14,0.7,1,3,5.49
Flores,Heroes,5,14,Lluvia fuerte,0,1,Flores|Calle 72|Calle 76|Heroes,4,2,11.88,0.25,1,4,5.66
Av. Rojas,Calle 85,0,5,Normal,0,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85,12,10,44.2,0.5,1,12,0.0
Portal El Dorado,Toberin,6,21,Lluvia fuerte,0,1,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin,24,22,111.84,0.183,1,24,0.0
Portal Norte,Marly,5,10,Lluvia fuerte,0,1,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly,20,18,86.52,0.18,1,20,0.0
Calle 45,Calle 26,3,11,Lluvia fuerte,0,0,Calle 45|Marly|Calle 26,3,1,12.75,0.5,1,3,6.36
Av. Jimenez,Calle 76,6,21,Lluvia fuerte,0,1,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,9,7,39.84,0.2,1,9,0.0
Portal El Dorado,Av. Jimenez,0,10,Lluvia,0,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Profamilia|Av. Jimenez,7,5,35.88,0.529,1,7,0.0
Calle 106,Marly,2,9,Lluvia fuerte,1,0,Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly,11,9,74.69,0.682,1,11,0.0
Pepe Sierra,Portal El Dorado,0,12,Normal,0,0,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,17,15,67.0,0.5,1,17,0.0
Mazuren,Calle 142,2,8,Lluvia fuerte,1,0,Mazuren|Calle 142,2,0,7.8,0.5,1,2,8.11
Comuneros,Calle 76,1,10,Lluvia fuerte,0,0,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,11,9,58.8,0.464,1,11,0.0
Mazuren,Calle 85,3,15,Lluvia fuerte,0,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85,10,8,53.1,0.44,1,10,0.0
Calle 45,Av. Rojas,6,21,Normal,0,1,Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,6,4,17.44,0.167,1,6,2.63
Toberin,Pepe Sierra,5,19,Lluvia,1,1,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra,8,6,32.07,0.35,1,8,0.0
Calle 85,Calle 106,1,10,Lluvia,0,0,Calle 85|Virrey|Calle 100|Calle 106,4,2,15.72,0.45,1,4,4.86
Ricaurte,Portal El Dorado,3,21,Normal,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,11,9,44.7,0.482,1,11,0.0
Flores,Comuneros,3,12,Lluvia,0,0,Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,9,7,38.76,0.433,1,9,0.0
Calle 72,Calle 127,4,8,Normal,1,0,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127,9,7,41.86,0.744,1,9,0.0
Calle 72,Calle 142,1,5,Lluvia,0,0,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,12,10,51.84,0.5,1,12,0.0
Av. Jimenez,Virrey,5,12,Normal,0,1,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,12,10,35.68,0.2,1,12,0.0
Marly,Av. Jimenez,6,15,Normal,0,1,Marly|Calle 26|Profamilia|Av. Jimenez,4,2,12.24,0.25,1,4,5.64
Santa Isabel,Profamilia,3,6,Normal,1,0,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia,5,3,20.8,0.58,1,5,2.72
Comuneros,Portal Norte,0,7,Lluvia fuerte,1,0,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,25,23,182.33,0.676,1,25,0.0
Comuneros,Mazuren,5,8,Normal,1,1,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,22,20,86.11,0.364,1,22,0.0
Calle 142,Virrey,1,5,Lluvia,0,0,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey,8,6,34.08,0.45,1,8,0.0
Marly,Calle 45,1,21,Lluvia fuerte,0,0,Marly|Calle 45,2,0,4.95,0.4,1,2,8.55
Heroes,Calle 63,6,22,Lluvia fuerte,0,1,Heroes|Calle 76|Calle 72|Flores|Calle 63,5,3,16.2,0.24,1,5,3.97
Pepe Sierra,Calle 63,0,7,Lluvia fuerte,1,0,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63,10,8,66.69,0.7,1,10,0.0
Av. Jimenez,Prado,1,10,Normal,0,0,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,17,15,65.4,0.512,1,17,0.0
Pepe Sierra,Santa Isabel,1,13,Lluvia fuerte,0,0,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,18,16,101.25,0.467,1,18,0.0
Calle 127,Tercer Milenio,1,18,Lluvia,1,0,Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,17,15,101.87,0.7,1,17,0.0
Calle 142,Marly,1,8,Normal,1,0,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly,16,14,73.71,0.675,1,16,0.0
Av. Rojas,Profamilia,0,6,Lluvia,1,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Profamilia,5,3,27.61,0.66,1,5,2.14
Av. Jimenez,Calle 76,6,13,Lluvia,0,1,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,9,7,31.87,0.2,1,9,0.0
Calle 63,Portal El Dorado,1,6,Lluvia fuerte,1,0,Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,8,6,63.96,0.7,1,8,0.0
Profamilia,Heroes,2,6,Normal,1,0,Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes,9,7,39.65,0.7,1,9,0.0
Calle 26,Calle 72,4,7,Normal,1,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72,6,4,25.48,0.7,1,6,0.63
Cardio Infantil,Virrey,4,19,Normal,1,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey,10,8,46.41,0.64,1,10,0.0
Calle 106,Av. Jimenez,2,21,Normal,0,0,Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,14,12,53.6,0.5,1,14,0.0
Salitre El Greco,Alcala,4,16,Lluvia fuerte,1,0,Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,17,15,127.34,0.7,1,17,0.0
Santa Isabel,Salitre El Greco,0,7,Lluvia fuerte,1,0,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco,7,5,50.7,0.643,1,7,0.0
Tercer Milenio,Salitre El Greco,0,15,Normal,0,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco,5,3,19.0,0.5,1,5,3.05
Calle 45,Tercer Milenio,5,14,Normal,0,1,Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,6,4,17.52,0.167,1,6,2.62
Comuneros,Av. Rojas,1,10,Lluvia fuerte,0,0,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,8,6,43.95,0.45,1,8,0.0
Calle 100,Av. Jimenez,6,15,Normal,0,1,Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,13,11,39.68,0.215,1,13,0.0
Marly,Portal El Dorado,6,7,Normal,1,1,Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,6,4,26.42,0.433,1,6,1.38
El Tiempo,Marly,1,21,Lluvia,0,0,El Tiempo|Salitre El Greco|Calle 26|Marly,4,2,17.4,0.5,1,4,4.63
Comuneros,Av. Rojas,6,15,Normal,0,1,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,8,6,23.44,0.15,1,8,0.0
Calle 100,Ricaurte,4,10,Lluvia,0,0,Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,17,15,77.04,0.488,1,17,0.0
Calle 72,Cardio Infantil,3,6,Normal,1,0,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,14,12,65.26,0.686,1,14,0.0
Santa Isabel,Calle 45,4,6,Lluvia fuerte,1,0,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45,8,6,57.14,0.625,1,8,0.0
Calle 106,Calle 72,3,12,Lluvia fuerte,0,0,Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72,7,5,36.45,0.529,1,7,0.0
Profamilia,El Tiempo,0,19,Lluvia fuerte,1,0,Profamilia|Calle 26|Salitre El Greco|El Tiempo,4,2,25.94,0.65,1,4,3.75
Calle 26,Calle 72,4,8,Lluvia,1,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72,6,4,30.58,0.7,1,6,0.37
Toberin,Cardio Infantil,4,12,Lluvia,0,0,Toberin|Cardio Infantil,2,0,3.96,0.5,1,2,8.3
Calle 76,Cardio Infantil,0,7,Normal,1,0,Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,13,11,60.58,0.669,1,13,0.0
Marly,Ricaurte,2,16,Normal,1,0,Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,8,6,38.87,0.675,1,8,0.0
Cardio Infantil,Comuneros,2,8,Lluvia,1,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,23,21,134.0,0.665,1,23,0.0
Calle 26,Tercer Milenio,3,22,Lluvia fuerte,0,0,Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,4,2,20.1,0.5,1,4,4.5
Tercer Milenio,Portal El Dorado,6,8,Lluvia,1,1,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,8,6,41.06,0.4,1,8,0.0
Toberin,Pepe Sierra,2,18,Normal,1,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra,8,6,33.41,0.65,1,8,0.0
Virrey,Prado,0,16,Lluvia fuerte,1,0,Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,6,4,40.56,0.7,1,6,0.0
Calle 127,Heroes,1,14,Lluvia fuerte,0,0,Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes,7,5,38.25,0.529,1,7,0.0
Ricaurte,Calle 127,5,12,Lluvia,0,1,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127,20,18,73.54,0.19,1,20,0.0
El Tiempo,Virrey,4,7,Normal,1,0,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,12,10,56.03,0.683,1,12,0.0
Marly,Calle 142,3,15,Normal,0,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,16,14,56.8,0.475,1,16,0.0
Mazuren,Profamilia,3,10,Lluvia,0,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia,19,17,85.2,0.468,1,19,0.0
Av. Rojas,Calle 72,6,20,Lluvia fuerte,0,1,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72,9,7,39.0,0.178,1,9,0.0
Alcala,Calle 127,4,6,Lluvia,1,0,Alcala|Prado|Calle 127,3,1,11.39,0.7,1,3,5.83
Pepe Sierra,Portal Norte,1,12,Lluvia fuerte,0,0,Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,9,7,45.15,0.478,1,9,0.0
Portal El Dorado,Calle 100,1,14,Lluvia,0,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,15,13,71.64,0.513,1,15,0.0
Comuneros,Calle 26,2,5,Lluvia fuerte,0,0,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26,5,3,24.0,0.46,1,5,2.92
Cardio Infantil,Calle 85,6,7,Lluvia,1,1,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85,11,9,48.3,0.345,1,11,0.0
Calle 100,Calle 45,4,11,Lluvia,0,0,Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45,9,7,37.56,0.5,1,9,0.0
Portal El Dorado,Tercer Milenio,5,18,Normal,1,1,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,8,6,34.84,0.4,1,8,0.0
Av. Rojas,Calle 63,5,17,Lluvia,1,1,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63,7,5,32.7,0.371,1,7,0.0
Calle 26,Heroes,6,6,Lluvia fuerte,1,1,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes,8,6,41.34,0.425,1,8,0.0
Heroes,Calle 127,5,16,Lluvia fuerte,1,1,Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127,7,5,39.47,0.429,1,7,0.0
Ricaurte,Portal El Dorado,2,21,Lluvia fuerte,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,11,9,67.05,0.482,1,11,0.0
Mazuren,Av. Jimenez,0,8,Lluvia fuerte,1,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,20,18,148.2,0.68,1,20,0.0
Calle 26,Pepe Sierra,2,16,Lluvia,1,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,13,11,73.94,0.7,1,13,0.0
Profamilia,Calle 127,3,7,Lluvia,1,0,Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127,15,13,87.05,0.7,1,15,0.0
Calle 63,Calle 76,0,19,Lluvia,1,0,Calle 63|Flores|Calle 72|Calle 76,4,2,15.44,0.7,1,4,4.13
Toberin,Heroes,2,20,Lluvia,0,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes,13,11,55.68,0.469,1,13,0.0
Mazuren,Cardio Infantil,3,9,Lluvia,1,0,Mazuren|Cardio Infantil,2,0,4.68,0.6,1,2,7.97
Calle 100,Calle 106,0,6,Lluvia fuerte,1,0,Calle 100|Calle 106,2,0,9.36,0.7,1,2,7.43
Calle 142,El Tiempo,3,8,Normal,1,0,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,19,17,92.95,0.679,1,19,0.0
El Tiempo,Mazuren,2,10,Normal,0,0,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,20,18,75.3,0.47,1,20,0.0
Mazuren,El Tiempo,1,5,Lluvia,0,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,20,18,90.6,0.47,1,20,0.0
El Tiempo,Av. Jimenez,1,16,Normal,1,0,El Tiempo|Salitre El Greco|Calle 26|Profamilia|Av. Jimenez,5,3,23.79,0.7,1,5,2.21
Flores,Santa Isabel,4,17,Lluvia fuerte,1,0,Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,10,8,70.79,0.62,1,10,0.0
Flores,Calle 26,1,21,Normal,0,0,Flores|Calle 63|Calle 45|Marly|Calle 26,5,3,15.9,0.46,1,5,3.33
Santa Isabel,Calle 100,2,19,Lluvia fuerte,1,0,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,16,14,116.22,0.675,1,16,0.0
Marly,Pepe Sierra,0,5,Lluvia fuerte,0,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,12,10,62.1,0.483,1,12,0.0
Marly,Tercer Milenio,3,22,Lluvia,0,0,Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,5,3,22.68,0.5,1,5,2.87
El Tiempo,Mazuren,0,18,Lluvia fuerte,1,0,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,20,18,146.84,0.67,1,20,0.0
Marly,Calle 142,0,6,Lluvia fuerte,1,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,16,14,110.76,0.675,1,16,0.0
Tercer Milenio,Av. Jimenez,2,12,Lluvia,0,0,Tercer Milenio|Av. Jimenez,2,0,3.6,0.5,1,2,8.32
Calle 85,Calle 100,5,19,Lluvia,1,1,Calle 85|Virrey|Calle 100,3,1,10.36,0.4,1,3,6.78
Profamilia,Calle 45,2,6,Lluvia fuerte,1,0,Profamilia|Calle 26|Marly|Calle 45,4,2,25.94,0.65,1,4,3.75
Calle 100,Mazuren,3,14,Lluvia fuerte,0,0,Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,8,6,40.8,0.45,1,8,0.0
Calle 72,Prado,0,13,Lluvia,0,0,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,10,8,42.96,0.54,1,10,0.0
Calle 127,Heroes,2,12,Lluvia fuerte,0,0,Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes,7,5,38.25,0.529,1,7,0.0
Calle 26,Calle 85,2,13,Lluvia,0,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85,9,7,37.56,0.522,1,9,0.0
Heroes,Calle 106,5,10,Lluvia,0,1,Heroes|Calle 85|Virrey|Calle 100|Calle 106,5,3,17.18,0.2,1,5,4.04
Calle 63,Mazuren,3,10,Lluvia,0,0,Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,15,13,64.2,0.473,1,15,0.0
Pepe Sierra,Calle 127,6,11,Lluvia fuerte,0,1,Pepe Sierra|Calle 127,2,0,5.28,0.3,1,2,8.84
Cardio Infantil,Calle 127,2,8,Lluvia fuerte,1,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127,6,4,34.32,0.633,1,6,0.38
Santa Isabel,Calle 76,5,21,Normal,0,1,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,12,10,34.56,0.15,1,12,0.0
El Tiempo,Pepe Sierra,5,12,Lluvia fuerte,0,1,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,15,13,67.08,0.187,1,15,0.0
Portal Norte,Santa Isabel,1,11,Lluvia,0,0,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,26,24,117.6,0.469,1,26,0.0
Tercer Milenio,Portal Norte,5,14,Normal,0,1,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,24,22,72.4,0.183,1,24,0.0
Av. Jimenez,Cardio Infantil,2,15,Normal,0,0,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,21,19,79.8,0.481,1,21,0.0
Calle 45,Calle 63,4,10,Lluvia,0,0,Calle 45|Calle 63,2,0,4.8,0.4,1,2,8.56
